field_name,layer,producer,source_log,type,unit,meaning_claimed,valid_when,missing_representation,forwarded_to,evidence,status,open_question
fixQuality,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,uint8_t,mã GGA,Chất lượng fix; validator chấp nhận 0..8,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:84; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
fixQuality,Relay,Relay_handler,childPacket,uint8_t,mã GGA,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1063,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecefXScaled,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,int64_t,0.0001 m,ECEF X suy ra từ GGA,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:86; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,ECEF này được firmware tính từ GGA; điểm vật lý của nghiệm chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecefXScaled,Relay,Relay_handler,childPacket,int64_t,0.0001 m,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1060,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecefYScaled,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,int64_t,0.0001 m,ECEF Y suy ra từ GGA,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:87; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,ECEF này được firmware tính từ GGA; điểm vật lý của nghiệm chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecefYScaled,Relay,Relay_handler,childPacket,int64_t,0.0001 m,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1061,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecefZScaled,ESP-NOW,Rover espnowTrySendRoverEcefStatus,Rover GGA snapshot,int64_t,0.0001 m,ECEF Z suy ra từ GGA,Đúng header/kích thước; thời gian <86400000; ECEF qua validator; fix <=8,Packet cố định; không null,Relay hoặc Base snapshot,esp32-um982-lora-base/include/RtcmEspNowProtocol.h:88; esp32-um982-lora/src/hardware/Espnow_handler.cpp:911,unknown,ECEF này được firmware tính từ GGA; điểm vật lý của nghiệm chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecefZScaled,Relay,Relay_handler,childPacket,int64_t,0.0001 m,Sao chép nguyên giá trị từ packet Rover,Có Base MAC; packet forwarded qua validator,Không gửi nếu thiếu Base hoặc validator lỗi,Base snapshot,esp32-um982-lora/src/hardware/Relay_handler.cpp:1062,unknown,Cần log direct/relay đối chiếu cùng mẫu. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
roverMac,Relay,Relay_handler,sourceChildMac,uint8_t[6],MAC,MAC Rover con được đặt trong gói relayed,Có child packet được chọn,Packet cố định,Base → rover_mac,esp32-um982-lora/src/hardware/Relay_handler.cpp:1057,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rtcmSourceEpoch,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,uint32_t,epoch,Gán source.epoch tại lúc Base nhận; không lấy từ packet Rover,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,MQTT rtcm_source_epoch,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:645,unknown,Cần log chuyển nguồn để kiểm tra packet cũ nhận sau đổi epoch. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
receivedAtMs,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,uint32_t,ms uptime Base,millis() tại Base nhận,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,MQTT source_age_ms,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:646,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
usesTempBase,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,bool,boolean,source.state == TempActive tại lúc nhận,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,MQTT rtcm_source,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:631,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rtcmSourceState,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,enum,trạng thái,Trạng thái nguồn Base tại lúc nhận,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,Không xuất nguyên enum trong ECEF MQTT,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:630,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
hasSelectedTempBase,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,bool,boolean,Có MAC được chọn trong Preparing/Resetting/Active/Fallback,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,Nội bộ Base,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:632,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
viaRelay,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,bool,boolean,Đường nhận gói qua Relay,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,MQTT via_relay,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:622,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
relayMac,ESP-NOW,Base snapshot,Trạng thái Base và callback nhận,uint8_t[6],MAC,MAC Relay được lưu nếu qua Relay; ngược lại zero,Có ô snapshot cho Rover,Chưa có snapshot: valid=false,MQTT relay_mac,esp32-um982-lora-base/src/hardware/BaseEspnow_sender.cpp:618,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
referenceXScaled,UM982,BaseGnssRoleController,RTCM1006,int64_t,0.0001 m,ECEF tham chiếu đọc từ RTCM1006 local,RTCM1006 dài >=27; ECEF qua validator,Khởi tạo 0; phải đọc kèm cờ valid,Tính correction delta; không xuất riêng ECEF MQTT,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:720,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
referenceYScaled,UM982,BaseGnssRoleController,RTCM1006,int64_t,0.0001 m,ECEF tham chiếu đọc từ RTCM1006 local,RTCM1006 dài >=27; ECEF qua validator,Khởi tạo 0; phải đọc kèm cờ valid,Tính correction delta; không xuất riêng ECEF MQTT,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:721,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
referenceZScaled,UM982,BaseGnssRoleController,RTCM1006,int64_t,0.0001 m,ECEF tham chiếu đọc từ RTCM1006 local,RTCM1006 dài >=27; ECEF qua validator,Khởi tạo 0; phải đọc kèm cờ valid,Tính correction delta; không xuất riêng ECEF MQTT,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:722,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
observedXScaled,UM982,BaseGnssRoleController,Local Base GNSS observation,int64_t,0.0001 m,ECEF quan sát local Base trong correction snapshot,Xem referenceValid; observationValid; correctionValid,Khởi tạo 0; phải đọc kèm cờ valid,Tính correction delta; không xuất riêng ECEF MQTT,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:535,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
observedYScaled,UM982,BaseGnssRoleController,Local Base GNSS observation,int64_t,0.0001 m,ECEF quan sát local Base trong correction snapshot,Xem referenceValid; observationValid; correctionValid,Khởi tạo 0; phải đọc kèm cờ valid,Tính correction delta; không xuất riêng ECEF MQTT,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:536,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
observedZScaled,UM982,BaseGnssRoleController,Local Base GNSS observation,int64_t,0.0001 m,ECEF quan sát local Base trong correction snapshot,Xem referenceValid; observationValid; correctionValid,Khởi tạo 0; phải đọc kèm cờ valid,Tính correction delta; không xuất riêng ECEF MQTT,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:537,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
deltaXScaled,UM982,BaseGnssRoleController,Local Base GNSS observation,int64_t,0.0001 m,reference - observed; chỉ cập nhật khi FIX/reference/ngưỡng hợp lệ,Xem referenceValid; observationValid; correctionValid,Khởi tạo 0; phải đọc kèm cờ valid,MQTT correction_ecef_m,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:558,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
deltaYScaled,UM982,BaseGnssRoleController,Local Base GNSS observation,int64_t,0.0001 m,reference - observed; chỉ cập nhật khi FIX/reference/ngưỡng hợp lệ,Xem referenceValid; observationValid; correctionValid,Khởi tạo 0; phải đọc kèm cờ valid,MQTT correction_ecef_m,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:559,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
deltaZScaled,UM982,BaseGnssRoleController,Local Base GNSS observation,int64_t,0.0001 m,reference - observed; chỉ cập nhật khi FIX/reference/ngưỡng hợp lệ,Xem referenceValid; observationValid; correctionValid,Khởi tạo 0; phải đọc kèm cờ valid,MQTT correction_ecef_m,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:560,unknown,Điểm quy chiếu ECEF local Base và Rover chưa xác minh. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
referenceValid,UM982,BaseGnssRoleController,Correction snapshot,bool,cờ hoặc bộ đếm,Có ECEF tham chiếu RTCM1006,Điều kiện trong recordObservation và snapshot getter,Khởi tạo false/0,MQTT dùng nội bộ; không xuất nguyên toàn bộ snapshot,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:719; esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:761,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
observationValid,UM982,BaseGnssRoleController,Correction snapshot,bool,cờ hoặc bộ đếm,Đã ghi nhận observation local,Điều kiện trong recordObservation và snapshot getter,Khởi tạo false/0,MQTT dùng nội bộ; không xuất nguyên toàn bộ snapshot,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:534; esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:761,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
stableSamples,UM982,BaseGnssRoleController,Correction snapshot,uint8_t,cờ hoặc bộ đếm,Số mẫu đạt điều kiện liên tiếp; reset 0 khi lỗi,Điều kiện trong recordObservation và snapshot getter,Khởi tạo false/0,MQTT dùng nội bộ; không xuất nguyên toàn bộ snapshot,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:561; esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:761,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correctionValid,UM982,BaseGnssRoleController,Correction snapshot,bool,cờ hoặc bộ đếm,Đủ warmup; kiểm tra thêm tuổi snapshot khi đọc,Điều kiện trong recordObservation và snapshot getter,Khởi tạo false/0,MQTT dùng nội bộ; không xuất nguyên toàn bộ snapshot,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:564; esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:761,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
gnssTimeMsOfDay,UM982,BaseGnssRoleController,Correction snapshot,uint32_t,ms,Thời gian GNSS observation correction,Điều kiện trong recordObservation và snapshot getter,Khởi tạo false/0,MQTT dùng nội bộ; không xuất nguyên toàn bộ snapshot,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:538; esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:761,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
observedAtMs,UM982,BaseGnssRoleController,Correction snapshot,uint32_t,ms,millis lúc ghi observation correction,Điều kiện trong recordObservation và snapshot getter,Khởi tạo false/0,MQTT dùng nội bộ; không xuất nguyên toàn bộ snapshot,esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:539; esp32-um982-lora-base/src/functions/BaseGnssRoleController.cpp:761,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rover_mac,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,string,MAC,MAC nguồn Rover,Luôn có trong payload,Không null,Python kiểm tra khớp MAC topic; ánh xạ rover_id,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:935; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
sequence,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint32),số thứ tự,Số thứ tự Rover,Có snapshot được publish,Không null,Observation.sequence; event_id; SQLite,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:935; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
gnss_time_ms,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint32),ms trong ngày,Thời gian GGA; không chứa ngày,Có snapshot được publish,Không null,Python timestamp_utc dạng chuỗi và event_id,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:936; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Cần ngày UTC để định danh epoch qua nhiều ngày. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
fix_quality,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint8),mã GGA,Chất lượng fix Rover,Có snapshot; không bắt buộc FIX để publish raw,Không null,Python 4 → FIX; còn lại → INVALID,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:936; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_valid,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,boolean,boolean,"Correction snapshot hợp lệ và Rover FIX, temp active, khác temp MAC, đúng stream, gần epoch GNSS",Biểu thức tại 877..885,FALSE,Python lọc temp-base; SQLite payload_json,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:938; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
via_relay,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,boolean,boolean,Snapshot qua Relay,Có snapshot,false nếu trực tiếp,Python bỏ qua; SQLite không lưu,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:940; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
relay_mac,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,string,MAC,MAC Relay,Có ý nghĩa khi via_relay=true,Chuỗi rỗng nếu trực tiếp,Python bỏ qua; SQLite không lưu,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:941; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rtcm_source,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,string,enum,temp_base nếu usesTempBase; còn lại local_base,Trạng thái Base gán lúc nhận,Không null,Python chọn from_point và raw/corrected,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:941; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
temp_base_mac,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,string|null,MAC,MAC Temporary Base,usesTempBase=true,null,Python ánh xạ from_point; SQLite giữ,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:942; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rtcm_source_epoch,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint32),epoch,Epoch trạng thái Base lúc nhận mẫu,Có snapshot,Không null; Python thiếu thì 0,Chỉ ghép event_id; không cột độc lập SQLite,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:942; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_stream_id,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint16),ID,Stream ID từ Rover packet,Có snapshot,Không null; Python thiếu thì 0,Chỉ ghép event_id; không cột độc lập SQLite,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:943; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
source_age_ms,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint32),ms,now - receivedAtMs tại Base; không phải tuổi GNSS end-to-end,Có snapshot,Không null,Observation.source_age_ms → SQLite,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:943; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_age_ms,MQTT,Base NetworkMqttManager,BaseRoverEcefStatus / BaseEcefCorrectionSnapshot,number (uint32),ms,now - correction.observedAtMs,observationValid=true để tuổi có nghĩa,0 nếu chưa có observation; cũng có thể là tuổi 0 thật,Python bỏ qua; SQLite không lưu,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:944; bình sai/src/gnss_adjustment_cli/base_protocol.py:132,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_raw_m.x,MQTT,Base NetworkMqttManager,Rover ECEF scaled,JSON number,m,ECEF Rover trước cộng correction,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Không null,Python chọn theo nguồn → delta_xyz; không lưu tọa độ gốc,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:937; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_raw_m.y,MQTT,Base NetworkMqttManager,Rover ECEF scaled,JSON number,m,ECEF Rover trước cộng correction,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Không null,Python chọn theo nguồn → delta_xyz; không lưu tọa độ gốc,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:937; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
